PRODUCTO,CATEGORIA,MONTO TOTAL
"Road-350-W Yellow, 40",ROAD BIKES,1020.59
Hitch Rack - 4-Bike,BIKE RACKS,72.00
"ML Road Frame-W - Yellow, 44",ROAD FRAMES,356.90
"Road-350-W Yellow, 42",ROAD BIKES,1020.59
"Sport-100 Helmet, Red",HELMETS,20.99
HL Road Handlebars,HANDLEBARS,72.16
LL Road Pedal,PEDALS,24.29
"Short-Sleeve Classic Jersey, XL",JERSEYS,32.39
"Sport-100 Helmet, Blue",HELMETS,20.99
AWC Logo Cap,CAPS,5.39
HL Road Pedal,PEDALS,48.59
"Road-250 Red, 58",ROAD BIKES,1466.01
"Road-350-W Yellow, 48",ROAD BIKES,1020.59
"Road-550-W Yellow, 40",ROAD BIKES,672.29
"Road-550-W Yellow, 42",ROAD BIKES,672.29
"Classic Vest, S",VESTS,38.10
"Long-Sleeve Logo Jersey, M",JERSEYS,29.99
"Road-750 Black, 52",ROAD BIKES,323.99
"Road-750 Black, 48",ROAD BIKES,323.99
Bike Wash - Dissolver,CLEANERS,4.77
"Road-250 Black, 58",ROAD BIKES,1466.01
"Sport-100 Helmet, Black",HELMETS,20.99
"Classic Vest, M",VESTS,38.10
"LL Road Frame - Black, 52",ROAD FRAMES,202.33
"Short-Sleeve Classic Jersey, L",JERSEYS,32.39
"Road-750 Black, 44",ROAD BIKES,323.99
Water Bottle - 30 oz.,BOTTLES AND CAGES,2.99
"Road-250 Black, 52",ROAD BIKES,1466.01
"Racing Socks, M",SOCKS,5.39
"Half-Finger Gloves, M",GLOVES,14.69
"Road-350-W Yellow, 44",ROAD BIKES,1020.59
"Road-250 Black, 44",ROAD BIKES,1466.01
"Road-550-W Yellow, 38",ROAD BIKES,672.29
Hydration Pack - 70 oz.,HYDRATION PACKS,32.99
"Road-750 Black, 58",ROAD BIKES,323.99
"Road-550-W Yellow, 48",ROAD BIKES,672.29
"Road-250 Black, 48",ROAD BIKES,1466.01
ML Road Pedal,PEDALS,37.25
"Long-Sleeve Logo Jersey, L",JERSEYS,29.99
"Short-Sleeve Classic Jersey, S",JERSEYS,32.39
"Racing Socks, L",SOCKS,5.39
"Road-550-W Yellow, 44",ROAD BIKES,672.29
HL Touring Seat/Saddle,SADDLES,31.58
