Empresas,Frutas,Cliente,Cantidad (Kg),Año,VENTAS_Canada(KG),VENTAS_China(KG),VENTAS_EE.UU.(KG),VENTAS_España(KG),VENTAS_Francia(KG)
PeruExport,Naranja,Mercado Mundial,1887,2014,1,3,2,3,3
AgroLatina,Platano,Europa Exportadores,2186,2013,3,3,4,2,3
AgroPro,ArÃ¡ndanos,J&T Exportadores,1891,2017,1,3,1,2,2
America,Palta,J&T Exportadores,1680,2018,2,3,2,3,3
VirPeru,Uva,J&T Exportadores,1183,2013,3,4,3,2,3
VirPeru,Palta,Mercado Mundial,1111,2013,4,4,2,3,2
Alfa,Palta,J&T Exportadores,1790,2012,5,4,1,3,2
AgroPro,Uva,America Exportadores,2062,2014,7,7,9,3,5
Alfa,Naranja,Mercado Mundial,2345,2012,5,4,4,2,2
Alfa,Naranja,Exportadores Mundiales,2014,2018,3,3,5,2,3
America,Naranja,Mercado Mundial,1814,2010,4,4,3,3,3
AgroLatina,ArÃ¡ndanos,Mercado Mundial,2334,2011,2,3,1,2,2
Alfa,Platano,Exportadores Mundiales,1588,2016,1,3,3,3,3
VirPeru,Mango,Mercado Mundial,1421,2016,2,3,1,3,2
AgroLatina,Mango,Europa Exportadores,1345,2011,5,4,5,2,2
America,Naranja,Exportadores Mundiales,873,2012,2,3,3,2,2
VirPeru,Uva,Mercado Mundial,2294,2014,5,3,5,3,3
VirPeru,Mandarina,Europa Exportadores,2248,2014,5,4,3,2,3
FruPeru,Palta,Mercado Mundial,1441,2012,5,4,4,2,2
VirPeru,Platano,Exportadores Mundiales,1738,2013,4,3,3,1,3
FruPeru,Uva,Europa Exportadores,1234,2019,5,4,1,1,2
PeruExport,ArÃ¡ndanos,J&T Exportadores,2345,2010,3,4,5,3,3
FruPeru,Palta,Europa Exportadores,1056,2014,2,3,4,3,2
America,Palta,Europa Exportadores,1157,2010,4,3,5,2,3
FruPeru,Uva,Exportadores Mundiales,2087,2010,4,3,1,1,3
FruPeru,Uva,J&T Exportadores,2264,2011,4,4,4,3,2
AgroPro,Naranja,J&T Exportadores,2112,2010,5,4,3,3,3
AgroPro,Naranja,Europa Exportadores,1991,2010,1,4,3,3,3
FruPeru,Uva,Europa Exportadores,892,2012,4,4,4,3,3
AgroLatina,Naranja,Mercado Mundial,1230,2019,2,3,4,1,3
America,Platano,Europa Exportadores,1277,2011,5,3,4,2,3
AgroPro,Naranja,Exportadores Mundiales,2052,2016,5,3,4,1,3
Alfa,Palta,America Exportadores,1149,2019,2,3,4,2,3
PeruExport,ArÃ¡ndanos,Europa Exportadores,1912,2020,3,4,1,1,3
VirPeru,Mango,Mercado Mundial,2043,2018,2,3,5,3,3
AgroLatina,Mandarina,J&T Exportadores,1001,2018,1,3,5,3,3
PeruExport,Platano,Europa Exportadores,2317,2011,3,3,1,2,2
America,Mango,Exportadores Mundiales,1130,2012,1,3,1,3,3
VirPeru,ArÃ¡ndanos,J&T Exportadores,1990,2019,1,4,2,1,2
AgroPro,ArÃ¡ndanos,Exportadores Mundiales,946,2012,4,3,2,1,3
Alfa,Naranja,Mercado Mundial,1995,2014,2,4,1,3,2
Alfa,Platano,Europa Exportadores,1722,2019,4,4,1,2,3
VirPeru,Mango,Europa Exportadores,2394,2016,5,3,1,3,2
Alfa,Mandarina,Mercado Mundial,1558,2019,3,3,4,1,3
America,Mango,Exportadores Mundiales,1555,2018,5,4,2,3,2
Alfa,Uva,Mercado Mundial,802,2017,3,3,3,3,2
VirPeru,Uva,Europa Exportadores,1347,2014,1,3,2,3,3
VirPeru,Mandarina,Exportadores Mundiales,2036,2015,3,3,2,1,3
PeruExport,Mandarina,Exportadores Mundiales,2246,2019,1,3,4,1,3
FruPeru,Mango,America Exportadores,828,2017,2,4,3,2,3
PeruExport,Uva,Mercado Mundial,2205,2015,3,3,5,1,3
PeruExport,Platano,America Exportadores,1513,2014,5,3,3,1,2
AgroLatina,Mandarina,J&T Exportadores,1573,2013,2,3,1,3,2
FruPeru,Platano,America Exportadores,1293,2010,5,3,4,3,2
FruPeru,Mandarina,Europa Exportadores,1581,2015,5,3,4,1,3
America,ArÃ¡ndanos,America Exportadores,1444,2020,2,3,5,3,3
PeruExport,ArÃ¡ndanos,Europa Exportadores,1725,2011,3,3,1,1,3
Alfa,Platano,Exportadores Mundiales,1781,2012,5,4,3,3,2
AgroLatina,Mango,Exportadores Mundiales,882,2017,1,4,1,1,3
VirPeru,Uva,America Exportadores,1252,2017,4,3,1,3,2
VirPeru,Mandarina,Mercado Mundial,891,2013,1,3,2,2,3
AgroLatina,Mandarina,J&T Exportadores,1307,2010,2,4,2,3,2
AgroPro,ArÃ¡ndanos,Exportadores Mundiales,1935,2015,1,4,2,3,2
AgroPro,Uva,J&T Exportadores,1558,2018,4,3,1,2,2
FruPeru,Naranja,Europa Exportadores,966,2015,5,3,1,2,3
Alfa,ArÃ¡ndanos,Exportadores Mundiales,2011,2018,2,4,4,3,3
PeruExport,Uva,America Exportadores,844,2011,4,3,4,1,2
AgroPro,Uva,Mercado Mundial,1489,2018,5,3,2,1,2
AgroPro,Mandarina,Exportadores Mundiales,1946,2012,3,3,3,2,2
PeruExport,Mandarina,Exportadores Mundiales,1363,2014,1,4,2,2,2
PeruExport,Uva,Mercado Mundial,1494,2014,5,3,3,1,3
Alfa,Mandarina,Exportadores Mundiales,1978,2014,1,4,4,3,3
FruPeru,Naranja,J&T Exportadores,2201,2010,2,4,2,1,3
AgroPro,Palta,Exportadores Mundiales,917,2017,4,3,2,2,3
FruPeru,Mango,Europa Exportadores,2396,2011,1,3,4,2,2
AgroPro,Platano,Europa Exportadores,1557,2010,4,3,3,3,3
VirPeru,ArÃ¡ndanos,Europa Exportadores,1160,2019,4,4,3,3,2
FruPeru,Platano,J&T Exportadores,844,2016,4,4,2,1,2
Alfa,ArÃ¡ndanos,J&T Exportadores,2308,2010,2,3,2,1,2
AgroLatina,Palta,Mercado Mundial,905,2019,1,3,1,1,3
FruPeru,Platano,J&T Exportadores,898,2012,1,3,1,1,3
AgroLatina,Uva,Mercado Mundial,1941,2018,3,3,4,3,2
Alfa,Naranja,Mercado Mundial,1381,2011,3,3,4,2,3
AgroLatina,ArÃ¡ndanos,America Exportadores,2389,2010,4,3,5,1,2
PeruExport,Platano,Mercado Mundial,954,2016,3,4,2,3,3
America,Uva,J&T Exportadores,1101,2013,4,4,1,2,3
America,Naranja,J&T Exportadores,1348,2010,1,3,5,2,3
FruPeru,Mango,Europa Exportadores,2025,2013,2,4,3,3,3
AgroPro,Mango,Europa Exportadores,983,2016,4,4,3,2,3
PeruExport,Naranja,Europa Exportadores,1615,2012,4,4,5,2,3
America,ArÃ¡ndanos,America Exportadores,1588,2013,5,3,1,3,3
FruPeru,Palta,Exportadores Mundiales,1424,2018,2,4,5,1,2
PeruExport,Uva,J&T Exportadores,1730,2011,4,4,3,1,2
America,Platano,Exportadores Mundiales,1234,2015,5,4,1,2,3
AgroLatina,Platano,Europa Exportadores,1271,2017,4,4,2,1,2
Alfa,Platano,America Exportadores,1081,2014,4,3,3,3,2
AgroPro,Naranja,Mercado Mundial,1019,2015,3,3,3,2,2
America,Mandarina,J&T Exportadores,2329,2013,4,4,4,3,3
America,Naranja,America Exportadores,1534,2010,3,4,3,2,2
AgroLatina,Palta,Mercado Mundial,2038,2014,3,3,4,2,2
America,Uva,Europa Exportadores,1285,2015,1,4,1,2,3
America,Palta,America Exportadores,1652,2014,2,3,3,1,3
AgroLatina,ArÃ¡ndanos,Europa Exportadores,1815,2013,5,4,2,3,3
VirPeru,Mandarina,Exportadores Mundiales,1013,2019,4,3,1,1,3
FruPeru,Platano,Mercado Mundial,975,2015,5,3,1,2,3
FruPeru,Mango,Exportadores Mundiales,1024,2017,2,4,1,1,3
AgroLatina,Mandarina,Exportadores Mundiales,1878,2010,3,4,4,1,3
FruPeru,Platano,J&T Exportadores,1652,2012,1,3,2,1,3
FruPeru,Naranja,Europa Exportadores,1314,2014,3,3,3,2,3
PeruExport,Naranja,America Exportadores,2000,2018,1,4,3,2,2
PeruExport,Palta,J&T Exportadores,2188,2012,2,3,5,3,2
AgroPro,Uva,J&T Exportadores,1230,2010,5,3,2,3,3
VirPeru,Platano,America Exportadores,2048,2017,3,3,4,2,3
AgroPro,Uva,J&T Exportadores,2107,2013,4,4,3,2,3
VirPeru,Palta,America Exportadores,1367,2014,1,4,4,3,2
VirPeru,Uva,Europa Exportadores,1553,2016,4,4,4,2,2
PeruExport,ArÃ¡ndanos,J&T Exportadores,2001,2017,2,4,3,2,2
AgroLatina,ArÃ¡ndanos,Europa Exportadores,2064,2015,2,4,1,2,2
VirPeru,Palta,J&T Exportadores,2077,2017,1,3,2,2,2
VirPeru,ArÃ¡ndanos,Mercado Mundial,1291,2020,1,4,5,2,2
VirPeru,Mandarina,Exportadores Mundiales,2065,2014,3,4,1,1,2
AgroPro,Platano,America Exportadores,2096,2018,1,3,2,2,2
AgroPro,Platano,J&T Exportadores,1790,2011,5,4,4,1,3
AgroPro,ArÃ¡ndanos,America Exportadores,2013,2010,1,4,3,2,3
PeruExport,ArÃ¡ndanos,America Exportadores,1709,2019,2,4,2,3,3
America,Palta,America Exportadores,1308,2013,3,4,1,3,3
VirPeru,ArÃ¡ndanos,Mercado Mundial,1978,2012,3,4,1,2,2
PeruExport,Uva,J&T Exportadores,1652,2019,2,3,1,1,2
AgroLatina,Mango,Exportadores Mundiales,1387,2014,1,3,1,1,3
VirPeru,Uva,Exportadores Mundiales,2093,2011,3,3,2,1,3
America,ArÃ¡ndanos,J&T Exportadores,1610,2013,3,4,5,2,3
America,Palta,Europa Exportadores,1901,2015,2,3,2,1,3
PeruExport,Uva,Mercado Mundial,1975,2013,1,4,1,1,2
VirPeru,Mandarina,America Exportadores,2103,2013,4,3,5,2,3
FruPeru,Platano,Exportadores Mundiales,1555,2011,3,3,4,2,2
VirPeru,Mandarina,Europa Exportadores,1970,2015,4,3,4,3,3
America,Platano,America Exportadores,2332,2017,5,4,4,1,2
VirPeru,Naranja,Mercado Mundial,1312,2010,5,3,2,1,2
PeruExport,ArÃ¡ndanos,J&T Exportadores,1509,2012,2,3,1,3,2
AgroPro,Platano,Europa Exportadores,1940,2010,4,3,4,1,3
AgroPro,Mango,J&T Exportadores,2099,2012,1,3,3,3,2
America,Mandarina,Europa Exportadores,1886,2015,5,4,2,3,2
AgroLatina,Uva,Mercado Mundial,1535,2020,5,4,4,1,3
AgroLatina,Platano,America Exportadores,1585,2017,1,3,1,3,3
AgroPro,Platano,Exportadores Mundiales,2357,2016,1,3,4,1,2
PeruExport,ArÃ¡ndanos,America Exportadores,2217,2019,3,4,2,1,3
AgroPro,Naranja,J&T Exportadores,2183,2014,2,3,4,3,3
PeruExport,Uva,America Exportadores,2025,2016,5,3,2,2,3
AgroPro,Naranja,Mercado Mundial,920,2017,4,3,3,1,3
FruPeru,Palta,J&T Exportadores,1260,2015,1,3,3,2,3
VirPeru,Naranja,Mercado Mundial,1503,2015,5,3,5,1,3
PeruExport,Naranja,Mercado Mundial,887,2018,2,3,2,3,3
VirPeru,Platano,Europa Exportadores,1053,2013,4,4,4,1,3
VirPeru,Naranja,Exportadores Mundiales,1623,2018,1,3,5,1,3
America,Mango,Exportadores Mundiales,1878,2020,1,3,2,3,3
America,Uva,Mercado Mundial,1584,2015,5,4,1,1,3
AgroPro,Palta,Europa Exportadores,2375,2019,1,3,3,3,3
AgroPro,Platano,Europa Exportadores,1801,2019,5,4,4,2,2
VirPeru,Platano,Europa Exportadores,1785,2018,5,4,3,1,2
VirPeru,Platano,J&T Exportadores,2053,2012,2,3,5,2,2
America,ArÃ¡ndanos,Exportadores Mundiales,1416,2012,1,3,5,3,2
AgroPro,Naranja,Mercado Mundial,829,2010,3,3,4,2,3
America,Uva,Europa Exportadores,2171,2019,4,4,3,3,3
AgroPro,ArÃ¡ndanos,America Exportadores,2238,2015,3,3,1,1,2
FruPeru,Palta,Exportadores Mundiales,1187,2020,4,4,4,2,2
VirPeru,Platano,J&T Exportadores,2393,2014,1,4,3,1,2
Alfa,Platano,America Exportadores,2379,2019,2,3,3,2,2
AgroPro,Palta,America Exportadores,1193,2014,3,4,4,3,2
AgroLatina,Mandarina,Europa Exportadores,1226,2020,5,3,5,1,2
AgroPro,Mandarina,J&T Exportadores,927,2010,4,4,1,2,2
Alfa,Mango,Europa Exportadores,2112,2011,5,4,5,1,2
Alfa,Uva,Mercado Mundial,892,2019,2,4,5,3,2
VirPeru,ArÃ¡ndanos,J&T Exportadores,1966,2011,5,3,1,1,2
FruPeru,Palta,Exportadores Mundiales,982,2018,5,3,1,2,2
America,Palta,Mercado Mundial,1687,2011,5,3,5,1,3
VirPeru,Mango,Mercado Mundial,1374,2016,2,3,3,3,2
AgroPro,Palta,Mercado Mundial,1930,2014,2,3,1,3,2
America,Palta,America Exportadores,2240,2017,1,3,2,2,2
America,Mandarina,J&T Exportadores,2009,2011,1,3,3,2,2
Alfa,Mandarina,Europa Exportadores,1627,2018,3,4,4,3,2
America,Palta,Europa Exportadores,1739,2015,1,3,2,1,3
FruPeru,Palta,America Exportadores,2184,2017,4,4,5,2,2
Alfa,Palta,Mercado Mundial,1064,2017,4,4,1,1,3
PeruExport,Platano,Europa Exportadores,1033,2018,2,3,4,3,3
PeruExport,Naranja,Mercado Mundial,2235,2019,4,3,2,3,2
VirPeru,Uva,America Exportadores,2195,2015,4,4,3,1,3
AgroPro,Mandarina,J&T Exportadores,2350,2010,4,3,2,3,2
Alfa,Mango,J&T Exportadores,1237,2017,3,6,5,5,5
VirPeru,Mandarina,Europa Exportadores,2173,2020,2,4,3,1,2
Alfa,Mandarina,Exportadores Mundiales,2032,2012,4,3,2,3,2
AgroPro,Mandarina,America Exportadores,1953,2012,3,3,5,3,3
AgroPro,ArÃ¡ndanos,Exportadores Mundiales,2298,2012,1,3,4,3,2
AgroLatina,Platano,Mercado Mundial,1552,2014,2,3,2,2,2
VirPeru,ArÃ¡ndanos,America Exportadores,2251,2015,5,4,4,1,3
AgroPro,Naranja,Exportadores Mundiales,2021,2013,2,3,3,2,3
AgroLatina,Naranja,Exportadores Mundiales,2328,2010,2,3,4,3,2
PeruExport,Mango,Exportadores Mundiales,2281,2018,2,3,3,1,2
PeruExport,Mango,J&T Exportadores,2100,2010,5,3,2,1,3
PeruExport,Naranja,Europa Exportadores,983,2013,1,3,2,1,3
PeruExport,Naranja,Europa Exportadores,1811,2010,4,3,4,3,3
Alfa,Mandarina,America Exportadores,2324,2015,1,4,4,3,3
Alfa,Naranja,J&T Exportadores,1626,2015,1,3,5,3,2
America,Mandarina,Exportadores Mundiales,1650,2014,2,3,3,2,2
FruPeru,Mango,America Exportadores,1955,2019,4,4,3,2,3
VirPeru,Platano,Exportadores Mundiales,1282,2015,5,4,5,2,2
America,Uva,America Exportadores,1087,2020,5,4,2,2,3
FruPeru,Uva,Europa Exportadores,1650,2018,5,3,4,1,3
VirPeru,ArÃ¡ndanos,Mercado Mundial,1682,2010,5,4,2,2,3
America,Mango,Mercado Mundial,1092,2016,2,4,5,2,3
America,Mandarina,Exportadores Mundiales,2351,2019,4,4,5,1,3
FruPeru,Palta,Exportadores Mundiales,1577,2013,5,4,4,3,3
AgroLatina,Palta,Exportadores Mundiales,2218,2014,4,3,4,1,3
PeruExport,Palta,Mercado Mundial,2175,2019,4,3,4,2,2
PeruExport,ArÃ¡ndanos,Mercado Mundial,2230,2018,4,4,4,3,3
Alfa,Mango,Mercado Mundial,1889,2014,4,4,1,1,3
PeruExport,Palta,J&T Exportadores,1373,2017,5,4,5,1,3
Alfa,Uva,J&T Exportadores,1036,2011,4,4,4,3,2
PeruExport,ArÃ¡ndanos,Mercado Mundial,1891,2017,5,4,5,2,2
PeruExport,Naranja,Mercado Mundial,1398,2015,1,4,5,2,2
Alfa,Platano,America Exportadores,841,2015,5,4,4,3,2
FruPeru,Mango,Exportadores Mundiales,2159,2011,1,3,4,1,3
America,Mango,Exportadores Mundiales,1250,2012,2,4,3,3,2
PeruExport,Mango,Europa Exportadores,1885,2011,3,3,1,1,3
America,Mango,Exportadores Mundiales,1342,2013,5,4,2,2,2
PeruExport,Mango,America Exportadores,1342,2017,5,3,3,1,3
PeruExport,Platano,J&T Exportadores,1864,2020,4,3,3,2,3
PeruExport,Mango,Europa Exportadores,1793,2012,4,3,2,3,3
FruPeru,Uva,Mercado Mundial,975,2016,5,3,1,3,2
AgroLatina,Platano,America Exportadores,1154,2019,4,4,4,1,3
VirPeru,Mango,Europa Exportadores,1832,2019,1,3,5,2,2
FruPeru,Mandarina,America Exportadores,1008,2012,1,3,4,2,2
America,Palta,Europa Exportadores,949,2018,1,4,4,3,3
AgroPro,Platano,Europa Exportadores,2262,2013,5,3,5,2,2
AgroPro,Mandarina,Europa Exportadores,2162,2015,4,4,4,2,2
AgroLatina,Uva,America Exportadores,1998,2013,5,4,2,1,3
AgroLatina,ArÃ¡ndanos,Mercado Mundial,2193,2010,1,4,3,3,2
AgroPro,Uva,Mercado Mundial,2165,2016,5,3,5,3,3
Alfa,Uva,Exportadores Mundiales,908,2016,3,3,1,1,2
FruPeru,ArÃ¡ndanos,Europa Exportadores,1909,2016,4,3,5,2,3
Alfa,Mango,Europa Exportadores,896,2020,2,3,1,3,3
Alfa,Uva,America Exportadores,1066,2019,4,3,4,2,2
AgroLatina,Uva,Mercado Mundial,2265,2018,4,4,5,3,3
VirPeru,Naranja,J&T Exportadores,1886,2017,1,3,1,3,3
PeruExport,Platano,Exportadores Mundiales,1772,2011,5,4,4,3,2
FruPeru,Palta,Mercado Mundial,2190,2017,3,3,1,2,2
America,Naranja,J&T Exportadores,2063,2010,2,3,3,2,3
AgroPro,Naranja,America Exportadores,1595,2016,5,3,4,3,2
America,Palta,Exportadores Mundiales,2375,2010,2,3,2,2,2
Alfa,Mandarina,J&T Exportadores,1480,2017,5,4,3,1,3
AgroLatina,Uva,America Exportadores,2274,2010,6,8,5,5,6
PeruExport,Palta,Europa Exportadores,1959,2020,3,4,3,2,3
VirPeru,Platano,Europa Exportadores,1902,2012,4,3,3,1,2
VirPeru,Palta,Europa Exportadores,1352,2016,2,4,2,3,3
AgroLatina,Palta,Exportadores Mundiales,1273,2017,2,3,4,3,3
America,Uva,America Exportadores,1724,2010,1,4,1,1,3
America,Naranja,Mercado Mundial,1284,2015,1,4,5,2,3
AgroLatina,Uva,Europa Exportadores,1687,2019,2,3,3,3,3
America,Mango,Mercado Mundial,1993,2017,1,3,5,2,2
PeruExport,Naranja,J&T Exportadores,1969,2012,4,4,5,3,2
America,Platano,Europa Exportadores,1623,2010,4,3,1,2,3
AgroPro,Palta,Europa Exportadores,1840,2014,5,4,5,2,2
America,Mango,Europa Exportadores,1864,2018,4,4,3,2,3
America,Palta,America Exportadores,1884,2019,3,4,5,2,3
AgroPro,Palta,Exportadores Mundiales,1036,2015,5,4,3,1,3
AgroPro,Mandarina,America Exportadores,925,2014,2,3,2,2,2
AgroLatina,Mango,J&T Exportadores,833,2015,5,3,3,2,2
America,Uva,Europa Exportadores,1813,2011,4,3,4,2,2
AgroPro,Naranja,Europa Exportadores,1870,2010,5,4,4,1,3
AgroPro,Palta,J&T Exportadores,1029,2016,1,3,5,3,2
FruPeru,Palta,J&T Exportadores,2339,2016,4,4,3,2,3
VirPeru,Mandarina,J&T Exportadores,1905,2018,5,4,3,2,2
FruPeru,Palta,J&T Exportadores,2163,2017,3,3,5,3,2
Alfa,ArÃ¡ndanos,Exportadores Mundiales,1157,2012,5,3,5,3,3
VirPeru,Uva,Mercado Mundial,1525,2019,1,4,1,2,3
America,ArÃ¡ndanos,Mercado Mundial,1357,2010,4,4,4,1,2
AgroLatina,Naranja,America Exportadores,1785,2016,5,4,5,1,2
AgroPro,Mango,Mercado Mundial,2077,2014,5,3,4,1,3
FruPeru,Platano,America Exportadores,1407,2020,5,4,2,3,2
FruPeru,Mango,Exportadores Mundiales,2075,2018,1,4,1,1,2
AgroLatina,Naranja,J&T Exportadores,1065,2015,2,4,4,1,3
America,ArÃ¡ndanos,Mercado Mundial,1165,2015,4,4,1,2,3
FruPeru,Mandarina,America Exportadores,2030,2010,2,3,1,2,3
PeruExport,Naranja,Mercado Mundial,2315,2020,1,4,4,3,3
AgroPro,Naranja,Exportadores Mundiales,1604,2018,1,4,4,3,3
Alfa,Palta,Mercado Mundial,1756,2020,1,3,5,2,2
PeruExport,ArÃ¡ndanos,Europa Exportadores,1009,2014,1,3,1,3,3
FruPeru,Mandarina,Exportadores Mundiales,802,2014,4,3,1,3,3
FruPeru,Mandarina,Exportadores Mundiales,1926,2020,2,4,4,1,3
VirPeru,Naranja,Exportadores Mundiales,1295,2020,2,4,2,1,2
FruPeru,Mandarina,Exportadores Mundiales,1999,2010,5,3,1,1,3
America,Palta,Exportadores Mundiales,2266,2011,4,3,1,3,3
AgroPro,Platano,Mercado Mundial,1832,2014,4,4,1,2,3
PeruExport,Mango,Mercado Mundial,923,2020,5,4,1,2,3
VirPeru,Mandarina,J&T Exportadores,1571,2020,3,4,4,1,2
AgroLatina,Naranja,J&T Exportadores,1841,2020,2,4,2,2,2
AgroPro,Naranja,Exportadores Mundiales,2061,2015,4,4,3,2,2
FruPeru,Palta,America Exportadores,998,2015,2,4,1,2,2
America,Uva,Europa Exportadores,867,2020,3,3,2,3,2
AgroLatina,Naranja,America Exportadores,860,2011,2,4,5,1,3
PeruExport,Mandarina,Mercado Mundial,810,2017,2,3,4,2,2
AgroPro,Platano,J&T Exportadores,2043,2010,2,3,1,1,3
AgroPro,Naranja,Europa Exportadores,2220,2012,4,4,3,3,2
America,ArÃ¡ndanos,J&T Exportadores,2079,2014,4,4,5,3,2
Alfa,Naranja,America Exportadores,1296,2012,2,4,4,3,2
VirPeru,ArÃ¡ndanos,Exportadores Mundiales,1873,2020,1,4,5,2,3
AgroPro,Platano,Mercado Mundial,1622,2011,4,3,2,2,2
AgroLatina,Uva,Exportadores Mundiales,1553,2013,3,4,4,1,2
AgroPro,Mandarina,America Exportadores,1974,2019,2,4,5,1,3
FruPeru,Platano,J&T Exportadores,2079,2019,4,3,5,3,3
PeruExport,Naranja,J&T Exportadores,1149,2010,4,3,5,2,3
AgroPro,ArÃ¡ndanos,Exportadores Mundiales,1371,2019,2,4,1,1,2
PeruExport,Mandarina,Exportadores Mundiales,983,2014,5,4,1,3,2
AgroPro,ArÃ¡ndanos,J&T Exportadores,1569,2010,4,4,1,2,3
AgroPro,Platano,Exportadores Mundiales,1616,2020,5,3,5,1,3
AgroPro,Mango,America Exportadores,2033,2013,4,3,1,1,2
AgroPro,Uva,J&T Exportadores,2333,2010,4,3,1,1,3
AgroLatina,Palta,Exportadores Mundiales,852,2015,5,3,1,1,3
VirPeru,Naranja,Europa Exportadores,1960,2012,1,4,2,3,2
PeruExport,Platano,America Exportadores,1613,2016,2,4,4,2,3
PeruExport,ArÃ¡ndanos,Mercado Mundial,1076,2015,4,3,1,2,2
AgroPro,Palta,J&T Exportadores,1994,2010,1,3,3,1,3
VirPeru,ArÃ¡ndanos,America Exportadores,2121,2019,5,3,2,1,3
VirPeru,ArÃ¡ndanos,Mercado Mundial,2379,2016,4,3,5,1,3
America,ArÃ¡ndanos,Europa Exportadores,2111,2016,2,3,2,1,2
VirPeru,Palta,Europa Exportadores,1563,2015,2,4,1,1,2
VirPeru,Mango,America Exportadores,2111,2011,2,3,4,1,2
America,ArÃ¡ndanos,America Exportadores,1747,2017,5,4,4,1,3
FruPeru,Palta,Europa Exportadores,2361,2018,1,3,1,2,2
PeruExport,Mandarina,Mercado Mundial,2022,2016,2,4,1,3,2
AgroPro,Mandarina,J&T Exportadores,1554,2017,3,3,1,3,2
Alfa,Uva,Mercado Mundial,1782,2019,5,3,4,3,3
VirPeru,Palta,America Exportadores,1194,2012,1,4,1,2,2
FruPeru,Uva,J&T Exportadores,2180,2014,1,4,2,2,2
AgroPro,Palta,Europa Exportadores,1986,2012,5,3,3,3,2
FruPeru,Mandarina,Exportadores Mundiales,1905,2017,4,4,3,1,2
AgroLatina,Palta,Exportadores Mundiales,1548,2015,1,4,3,3,2
America,Mango,Europa Exportadores,2271,2019,5,3,4,3,3
PeruExport,Naranja,America Exportadores,1603,2010,4,3,4,2,3
VirPeru,ArÃ¡ndanos,J&T Exportadores,2127,2014,3,3,2,1,3
America,Mango,Exportadores Mundiales,1265,2012,1,4,1,2,2
PeruExport,Naranja,Mercado Mundial,2003,2016,2,3,4,1,3
AgroLatina,Palta,Mercado Mundial,1456,2016,3,3,5,2,2
FruPeru,Mandarina,Europa Exportadores,999,2016,4,4,3,3,3
PeruExport,Mandarina,America Exportadores,1346,2019,3,4,3,3,2
America,Mandarina,Europa Exportadores,961,2014,5,4,3,3,2
AgroPro,Platano,J&T Exportadores,1822,2019,4,3,2,2,3
Alfa,Uva,America Exportadores,1427,2014,1,3,3,3,3
AgroLatina,Palta,America Exportadores,985,2010,5,4,4,3,2
PeruExport,Palta,Europa Exportadores,819,2017,2,3,4,2,3
PeruExport,Platano,Mercado Mundial,1553,2014,5,4,3,1,3
America,ArÃ¡ndanos,Mercado Mundial,1162,2011,2,4,1,3,2
AgroLatina,Naranja,Europa Exportadores,1029,2018,2,4,1,2,3
America,ArÃ¡ndanos,Exportadores Mundiales,1528,2017,3,4,3,1,2
America,Uva,Europa Exportadores,1998,2015,4,4,5,2,3
VirPeru,Palta,Mercado Mundial,1118,2010,5,4,2,2,2
AgroLatina,Mandarina,Mercado Mundial,2387,2015,4,3,2,1,3
AgroPro,Mandarina,J&T Exportadores,1656,2012,5,4,4,3,2
Alfa,Platano,America Exportadores,978,2018,2,3,2,1,3
AgroPro,Mango,J&T Exportadores,1473,2011,1,4,1,3,3
America,Mandarina,J&T Exportadores,2111,2020,3,4,1,1,3
AgroPro,Palta,America Exportadores,1200,2019,4,4,1,3,3
America,ArÃ¡ndanos,Europa Exportadores,1430,2010,4,4,2,1,2
AgroLatina,Mango,Europa Exportadores,1862,2010,3,3,3,3,2
America,Mango,Europa Exportadores,1454,2011,1,4,2,2,3
VirPeru,Platano,America Exportadores,2398,2011,2,3,5,1,2
VirPeru,Palta,J&T Exportadores,2188,2017,5,4,2,3,2
VirPeru,Mango,America Exportadores,1822,2012,4,4,2,2,3
AgroLatina,Platano,J&T Exportadores,1066,2019,3,3,1,2,2
PeruExport,ArÃ¡ndanos,America Exportadores,1651,2015,5,3,4,2,3
AgroLatina,Naranja,Europa Exportadores,1330,2018,2,4,3,1,2
America,Mango,J&T Exportadores,978,2012,2,3,5,1,2
AgroPro,Naranja,J&T Exportadores,1694,2016,3,4,1,3,3
AgroLatina,Mango,America Exportadores,2163,2010,2,3,5,3,2
PeruExport,Platano,J&T Exportadores,1472,2010,1,4,4,2,3
Alfa,Naranja,Mercado Mundial,1685,2014,4,4,1,3,3
America,Palta,Europa Exportadores,2315,2013,2,3,1,3,2
America,Platano,America Exportadores,2153,2016,1,4,4,3,2
AgroPro,Mandarina,J&T Exportadores,1208,2018,2,3,5,2,3
AgroPro,ArÃ¡ndanos,Europa Exportadores,2344,2018,1,4,4,1,3
VirPeru,Mango,America Exportadores,962,2012,2,4,3,1,2
Alfa,Platano,Exportadores Mundiales,1459,2012,4,3,3,2,3
VirPeru,Uva,Mercado Mundial,1659,2017,2,4,4,3,2
America,ArÃ¡ndanos,Mercado Mundial,1823,2019,3,3,3,2,3
Alfa,Platano,Europa Exportadores,1424,2010,5,4,2,1,3
AgroLatina,ArÃ¡ndanos,Mercado Mundial,1927,2011,4,3,3,3,2
AgroPro,Mango,J&T Exportadores,1075,2013,4,3,4,2,3
America,Palta,Europa Exportadores,1705,2015,1,3,2,1,3
AgroPro,Mango,Mercado Mundial,1900,2014,2,3,1,2,3
